,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
30,0.2626589298248291,0.012447570591404082,0.007969284057617187,0.004978540626243877,0.1,0.05,6,200,"{'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200}",0.8256793449825368,0.9026649913300229,0.9028744910707087,0.8779105969089203,0.8750401784713087,0.8768339205526996,0.028165663048472983,15,-150392.46515769273,-126521.23857123329,-116338.49755915978,-122838.01330816805,-136005.60328658854,-130419.16357656848,11841.232190252185,15
48,0.2601841926574707,0.013366708757020703,0.008422279357910156,0.004526275297821359,0.1,0.1,6,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.8256215422040298,0.9007661868844492,0.8936683717847295,0.8826384038326301,0.8795397984298423,0.8764468606271361,0.026529698605479123,17,-150417.39732031384,-127749.36164037605,-121727.3112140519,-120436.13293958628,-133534.47271196046,-130772.9351652577,10875.162277068983,17
21,0.25156383514404296,0.005939000787812335,0.0061370849609375,0.0031269397496283755,0.01,0.1,6,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.8256215422040298,0.9007661868844492,0.8936683717847295,0.8826384038326301,0.8795397984298423,0.8764468606271361,0.026529698605479123,17,-150417.39732031384,-127749.36164037605,-121727.3112140519,-120436.13293958628,-133534.47271196046,-130772.9351652577,10875.162277068983,17
49,0.5960485935211182,0.003491884194056515,0.009256601333618164,0.007561461901807995,0.1,0.1,6,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.8251574593649766,0.8998131071121724,0.894691832533411,0.8818849381516588,0.8796551168024892,0.8762404907929418,0.026642506671850984,19,-150617.4213102678,-128361.37269759054,-121140.07126344151,-120822.11658247249,-133470.54012232338,-130882.30439521912,10942.09656030734,19
22,0.65394287109375,0.0540720361965997,0.0089691162109375,0.004902209481370789,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.8251574593649766,0.8998131071121724,0.894691832533411,0.8818849381516588,0.8796551168024892,0.8762404907929418,0.026642506671850984,19,-150617.4213102678,-128361.37269759054,-121140.07126344151,-120822.11658247249,-133470.54012232338,-130882.30439521912,10942.09656030734,19
23,1.2370196342468263,0.027933916504185658,0.016080856323242188,0.0005989693310553066,0.01,0.1,6,1000,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 1000}",0.8244824436996786,0.8991986474132827,0.8942055378362952,0.8819559190844491,0.8795517448800712,0.8758788585827553,0.026727109624836452,21,-150907.8860301302,-128754.39978462739,-121419.45093310744,-120785.80726158278,-133527.85101257268,-131079.07900440408,10989.468263147975,21
50,1.2594010829925537,0.0739815064489008,0.012653017044067382,0.006360040233652611,0.1,0.1,6,1000,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 1000}",0.8244824436996786,0.8991986474132827,0.8942055378362952,0.8819559190844491,0.8795517448800712,0.8758788585827553,0.026727109624836452,21,-150907.8860301302,-128754.39978462739,-121419.45093310744,-120785.80726158278,-133527.85101257268,-131079.07900440408,10989.468263147975,21
45,0.10777716636657715,0.010393699919663726,0.008600807189941407,0.006358354676152574,0.1,0.1,3,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.8329026678324147,0.9008136420507113,0.8992478923988448,0.8551272594105073,0.8839979875042653,0.8744178898393488,0.026460102470718963,23,-147243.59475619096,-127718.81211315689,-118490.59137343353,-133809.5581343176,-131040.14499798136,-131660.54027501607,9346.866105758843,23
18,0.10878233909606934,0.0059512696038068035,0.004256296157836914,0.003679477478217046,0.01,0.1,3,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.8329026678324147,0.9008136420507113,0.8992478923988448,0.8551272594105073,0.8839979875042653,0.8744178898393488,0.026460102470718963,23,-147243.59475619096,-127718.81211315689,-118490.59137343353,-133809.5581343176,-131040.14499798136,-131660.54027501607,9346.866105758843,23
40,0.6335091590881348,0.023426392993290024,0.007351827621459961,0.007046412966329351,0.1,0.01,6,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.8228658622919742,0.8909396643094819,0.8931477884505852,0.876037604323368,0.8685934244332396,0.8703168687617298,0.025431656181836567,25,-151601.25178631462,-133925.203165514,-122024.92650686183,-123776.66557345343,-139469.79160459686,-134159.56772734813,10839.925478290232,25
13,0.6494429111480713,0.04368531828691949,0.00938105583190918,0.007216461961639735,0.01,0.01,6,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.8228658622919742,0.8909396643094819,0.8931477884505852,0.876037604323368,0.8685934244332396,0.8703168687617298,0.025431656181836567,25,-151601.25178631462,-133925.203165514,-122024.92650686183,-123776.66557345343,-139469.79160459686,-134159.56772734813,10839.925478290232,25
44,3.9002724170684813,0.25561884121459855,0.019611072540283204,0.0074892812698463445,0.1,0.01,9,1000,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 1000}",0.8210101708210993,0.8821130009828831,0.894716597674572,0.8567215500504197,0.8871020748252959,0.868332678870854,0.026879496848158834,27,-152393.2848290279,-139239.3075840284,-121125.82627448565,-133071.2498357603,-129275.01099213868,-135020.9359030882,10483.169055943365,27
17,4.286353397369385,0.279418452121647,0.028073883056640624,0.01119397912450696,0.01,0.01,9,1000,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 1000}",0.8210101708210993,0.8821130009828831,0.894716597674572,0.8567215500504197,0.8871020748252959,0.868332678870854,0.026879496848158834,27,-152393.2848290279,-139239.3075840284,-121125.82627448565,-133071.2498357603,-129275.01099213868,-135020.9359030882,10483.169055943365,27
7,2.061515140533447,0.11482196924176515,0.007704687118530273,0.0070040204490336025,0.01,0.05,9,500,"{'gamma': 0.01, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.8270005006783621,0.8799437171266055,0.8922669474058784,0.861474814765921,0.8806369129620412,0.8682645785877616,0.022866637978630637,29,-149821.4778559585,-140514.5656343958,-122526.85321980971,-130845.31240135651,-132924.9862940402,-135326.63908111217,9237.961637142615,35
34,2.1957020282745363,0.15788663972694011,0.01135721206665039,0.006397258312335879,0.1,0.05,9,500,"{'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.8270005006783621,0.8799437171266055,0.8922669474058784,0.861474814765921,0.8806369129620412,0.8682645785877616,0.022866637978630637,29,-149821.4778559585,-140514.5656343958,-122526.85321980971,-130845.31240135651,-132924.9862940402,-135326.63908111217,9237.961637142615,35
51,0.8684190273284912,0.03767777887513603,0.006258630752563476,0.007665226735205628,0.1,0.1,9,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.8240697855368881,0.8846510085578004,0.8932778174285008,0.8546645713438905,0.8846336360752107,0.8682593637884581,0.025691489024058076,31,-151085.18114706676,-137732.29992346666,-121950.65754100474,-134023.06528295818,-130680.6257965265,-135094.36593820457,9550.400246245099,29
